Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Olaf,Fighter,TOP,A,3.76,52.21%,80.16%,3.34%,Blue (0.51%)/Red (1.86%),1.87
Olaf,Fighter,JUNGLE,D,6.23,49.50%,17.04%,0.63%,Blue (1.06%)/Red (1.31%),2.33
Orianna,Mage,MID,B,1.89,50.36%,92.29%,2.36%,Blue (0.1%)/Red (0.06%),2.76
Ornn,Tank,TOP,A,4.74,51.31%,93.04%,4.06%,Blue (0.24%)/Red (0.4%),2.47
Pantheon,Fighter,MID,B,-3.79,51.96%,26.19%,1.59%,Blue (0.03%)/Red (1.13%),2.36
Pantheon,Fighter,TOP,B,1.97,50.14%,31.20%,1.74%,Blue (0.72%)/Red (0.44%),2.03
Pantheon,Fighter,SUPPORT,D,-4.36,48.44%,32.94%,2.03%,Blue (0.43%)/Red (0.73%),1.92
Poppy,Tank,TOP,B,1.47,50.72%,40.33%,1.04%,Blue (0.34%)/Red (0.18%),2.13
Poppy,Tank,JUNGLE,D,7.8,48.51%,47.78%,1.20%,Blue (0.16%)/Red (0.36%),2.7
Pyke,Support,SUPPORT,S,-4.93,49.29%,94.85%,8.26%,Blue (5.76%)/Red (8.15%),2.21
Qiyana,Assassin,MID,C,-0.52,48.10%,81.80%,2.62%,Blue (0.17%)/Red (0.77%),2.09
Qiyana,Assassin,JUNGLE,D,17.81,44.03%,11.83%,0.33%,Blue (0.58%)/Red (0.36%),2.23
Quinn,Marksman,TOP,A,4.4,53.27%,77.05%,1.30%,Blue (0.22%)/Red (0.38%),1.93
Quinn,Marksman,MID,C,-9.78,51.07%,11.07%,0.17%,Blue (0.56%)/Red (0.04%),2.29
Rakan,Support,SUPPORT,A,1.57,51.54%,98.50%,3.96%,Blue (0.13%)/Red (0.09%),2.97
Rammus,Tank,JUNGLE,A,-29.03,51.19%,90.80%,2.64%,Blue (7.45%)/Red (1.27%),3.13
Rek'Sai,Fighter,JUNGLE,C,10.41,48.73%,95.43%,1.69%,Blue (0.62%)/Red (0.18%),2.44
Rell,Tank,SUPPORT,B,-1.97,52.22%,98.75%,2.15%,Blue (0.36%)/Red (0.02%),2.5
Renata Glasc,Support,SUPPORT,A,-4.61,51.27%,99.02%,3.67%,Blue (0.03%)/Red (1.76%),2.75
Renekton,Fighter,TOP,A,0.41,48.48%,82.59%,4.44%,Blue (0.73%)/Red (1.72%),1.8
Renekton,Fighter,MID,C,-3.18,50.87%,16.09%,0.88%,Blue (1.31%)/Red (1.14%),2.06
Rengar,Assassin,JUNGLE,B,1.97,48.70%,76.49%,3.85%,Blue (1.49%)/Red (6.03%),2.35
Rengar,Assassin,TOP,B,5.55,50.26%,20.74%,1.22%,Blue (3.65%)/Red (3.87%),1.95
Riven,Fighter,TOP,A,-0.98,49.31%,90.85%,4.19%,Blue (0.47%)/Red (0.95%),1.9
Rumble,Fighter,MID,B,-1.34,50.56%,43.02%,1.22%,Blue (0.25%)/Red (0.29%),2.54
Rumble,Fighter,TOP,C,5.47,47.83%,42.54%,1.06%,Blue (0.29%)/Red (0.25%),2.14
Rumble,Fighter,JUNGLE,D,15.21,47.74%,11.62%,0.34%,Blue (0.38%)/Red (0.16%),2.8
Ryze,Mage,MID,S,23.14,50.06%,88.06%,7.45%,Blue (3.65%)/Red (0.49%),2.47
Ryze,Mage,TOP,B,12.77,50.92%,10.53%,0.90%,Blue (0.64%)/Red (3.5%),2.07
Samira,Marksman,ADC,S+,5.3,52.01%,98.08%,11.97%,Blue (15.8%)/Red (10.51%),2.37
Sejuani,Tank,JUNGLE,A,3.34,50.69%,81.96%,4.31%,Blue (0.68%)/Red (0.23%),3.27
Sejuani,Tank,TOP,C,0.37,48.97%,13.39%,0.71%,Blue (0.65%)/Red (0.26%),2.4
Senna,Marksman,SUPPORT,A,-5.87,49.45%,93.15%,4.82%,Blue (0.97%)/Red (0.4%),2.54
Seraphine,Mage,SUPPORT,A,-3.92,49.66%,65.53%,4.40%,Blue (0.01%)/Red (1.21%),2.49
Seraphine,Mage,MID,C,0.0,49.54%,11.79%,0.69%,Blue (1.05%)/Red (0.17%),2.88
Seraphine,Mage,ADC,C,2.69,52.69%,22.33%,1.19%,Blue (0.63%)/Red (0.59%),2.98
Sett,Fighter,TOP,S,-9.0,50.30%,81.83%,7.40%,Blue (0.93%)/Red (3.56%),1.78
Shaco,Assassin,JUNGLE,S,-9.54,49.55%,80.48%,5.75%,Blue (1.54%)/Red (14.27%),2.78
Shaco,Assassin,SUPPORT,C,-5.7,50.11%,13.61%,0.97%,Blue (5.61%)/Red (10.2%),2.37
Shen,Tank,TOP,S,3.19,52.13%,86.69%,4.79%,Blue (0.62%)/Red (0.33%),3.03
Shyvana,Fighter,TOP,C,9.41,51.45%,13.71%,0.22%,Blue (0.04%)/Red (0.26%),2.04
Shyvana,Fighter,JUNGLE,C,0.74,51.33%,80.18%,1.37%,Blue (0.14%)/Red (0.14%),2.55
Singed,Tank,MID,A,-7.41,55.15%,19.51%,0.50%,Blue (0.53%)/Red (0.08%),2.83
Singed,Tank,TOP,B,-0.5,51.45%,69.62%,1.88%,Blue (0.21%)/Red (0.4%),2.03
Sion,Tank,TOP,A,5.99,50.46%,82.93%,4.16%,Blue (0.19%)/Red (1.01%),1.67
Sivir,Marksman,ADC,B,6.06,50.34%,98.06%,5.34%,Blue (0.15%)/Red (0.54%),2.48
Skarner,Fighter,JUNGLE,C,6.41,52.15%,78.37%,0.76%,Blue (0.01%)/Red (0.14%),2.75
Skarner,Fighter,TOP,C,1.99,49.96%,19.16%,0.17%,Blue (0.09%)/Red (0.05%),2.27
Sona,Support,SUPPORT,S,1.03,53.03%,97.61%,4.29%,Blue (0.19%)/Red (0.08%),2.99
Soraka,Support,SUPPORT,S,-6.06,50.99%,96.45%,5.78%,Blue (0.78%)/Red (1.7%),2.79
Swain,Mage,SUPPORT,A,-3.9,51.66%,52.30%,3.85%,Blue (0.54%)/Red (3.19%),2.44
Swain,Mage,MID,A,-2.52,52.37%,32.41%,2.02%,Blue (2.58%)/Red (1.15%),2.77
Sylas,Mage,JUNGLE,S+,-16.47,49.50%,50.53%,8.73%,Blue (10.38%)/Red (12.58%),2.52
Sylas,Mage,MID,S+,6.88,49.61%,43.68%,7.47%,Blue (21.17%)/Red (1.79%),2.17
Syndra,Mage,MID,S,4.43,49.65%,92.20%,6.20%,Blue (1.15%)/Red (2.65%),2.31
Tahm Kench,Support,TOP,B,2.76,49.25%,67.79%,1.79%,Blue (0.33%)/Red (0.46%),2.37
Tahm Kench,Support,SUPPORT,D,-7.38,47.63%,23.21%,0.55%,Blue (0.02%)/Red (0.77%),2.34
Taliyah,Mage,MID,B,-0.27,51.08%,51.06%,1.31%,Blue (0.0%)/Red (0.4%),2.37
Taliyah,Mage,JUNGLE,D,10.06,48.44%,37.26%,0.96%,Blue (0.21%)/Red (0.19%),2.59
Talon,Assassin,MID,B,-0.28,49.85%,72.24%,3.37%,Blue (0.47%)/Red (0.84%),2.23
Talon,Assassin,JUNGLE,D,7.92,47.95%,24.53%,1.22%,Blue (1.12%)/Red (0.19%),2.48
Taric,Support,SUPPORT,B,1.48,52.44%,89.17%,1.74%,Blue (0.23%)/Red (0.08%),2.78
Teemo,Marksman,TOP,A,-9.6,49.99%,74.21%,3.76%,Blue (5.03%)/Red (1.27%),1.75
Thresh,Support,SUPPORT,S,0.51,50.08%,98.52%,8.93%,Blue (1.17%)/Red (0.97%),2.64
Tristana,Marksman,ADC,A,-1.96,51.38%,79.18%,7.86%,Blue (3.42%)/Red (0.29%),2.4
Tristana,Marksman,MID,B,-0.74,52.62%,17.85%,1.45%,Blue (0.48%)/Red (3.23%),2.19
Trundle,Fighter,JUNGLE,D,-2.89,48.01%,70.33%,1.42%,Blue (0.26%)/Red (0.64%),2.59
Trundle,Fighter,TOP,D,4.68,48.85%,23.42%,0.44%,Blue (0.07%)/Red (0.86%),1.63
Tryndamere,Fighter,TOP,B,-4.66,49.18%,75.26%,2.57%,Blue (1.76%)/Red (0.68%),1.8
Tryndamere,Fighter,MID,B,-3.89,52.21%,16.88%,0.55%,Blue (1.92%)/Red (0.52%),2.17
Twisted Fate,Mage,MID,B,5.08,49.29%,92.30%,2.72%,Blue (0.01%)/Red (0.19%),2.44
Twitch,Marksman,ADC,A,-3.8,51.29%,59.66%,5.92%,Blue (9.95%)/Red (1.29%),2.45
Twitch,Marksman,SUPPORT,C,-1.83,48.59%,30.03%,2.86%,Blue (0.96%)/Red (10.28%),2.09
Udyr,Fighter,JUNGLE,S,-18.46,52.54%,80.53%,6.18%,Blue (1.53%)/Red (18.22%),2.72
Udyr,Fighter,TOP,B,0.0,51.87%,16.84%,1.29%,Blue (14.33%)/Red (5.42%),1.95
Urgot,Fighter,TOP,A,3.0,51.31%,93.01%,2.67%,Blue (0.42%)/Red (0.43%),1.97
Varus,Marksman,ADC,S,4.29,50.18%,85.55%,11.57%,Blue (1.55%)/Red (2.27%),2.42
Varus,Marksman,MID,C,-5.7,48.05%,11.97%,1.59%,Blue (3.06%)/Red (0.76%),2.08
Vayne,Marksman,ADC,C,-10.24,49.20%,81.32%,5.79%,Blue (2.75%)/Red (2.65%),2.09
Vayne,Marksman,TOP,C,1.82,49.85%,15.96%,1.09%,Blue (3.05%)/Red (2.35%),1.61
Veigar,Mage,MID,A,-2.64,49.76%,76.75%,3.57%,Blue (1.7%)/Red (0.32%),2.29
Veigar,Mage,ADC,D,-3.73,49.52%,12.22%,0.49%,Blue (0.41%)/Red (1.61%),2.32
Vel'Koz,Mage,MID,B,-6.66,50.71%,35.12%,1.06%,Blue (0.27%)/Red (0.24%),2.64
Vel'Koz,Mage,SUPPORT,B,-1.85,51.43%,60.37%,2.04%,Blue (0.2%)/Red (0.31%),2.25
Vex,Mage,MID,S,2.3,51.27%,94.12%,4.79%,Blue (3.49%)/Red (3.08%),2.47
Vi,Fighter,JUNGLE,S,2.89,51.82%,96.07%,5.96%,Blue (0.37%)/Red (1.12%),2.58
Viego,Assassin,JUNGLE,A,-11.21,48.24%,92.19%,7.25%,Blue (1.42%)/Red (1.29%),2.41
Viktor,Mage,MID,S,3.79,51.10%,95.85%,5.76%,Blue (0.72%)/Red (2.17%),2.32
Vladimir,Mage,MID,A,2.55,49.94%,77.40%,4.07%,Blue (3.2%)/Red (1.48%),2.41
Vladimir,Mage,TOP,C,5.78,48.59%,20.74%,1.05%,Blue (2.85%)/Red (1.83%),2.04
