Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Rammus,Tank,JUNGLE,A,0.36,51.71%,93.45%,2.41%,Blue (2.64%)/Red (0.5%),2.9
Rek'Sai,Fighter,JUNGLE,A,-0.79,51.40%,96.79%,3.69%,Blue (1.97%)/Red (0.55%),2.51
Rell,Tank,SUPPORT,B,0.27,50.61%,99.47%,2.13%,Blue (0.06%)/Red (0.43%),2.42
Renekton,Fighter,TOP,A,6.84,48.17%,86.48%,4.10%,Blue (1.94%)/Red (0.11%),1.91
Renekton,Fighter,MID,B,3.85,51.78%,12.93%,0.63%,Blue (0.19%)/Red (1.86%),2.19
Rengar,Assassin,JUNGLE,B,3.97,48.44%,77.99%,2.97%,Blue (2.39%)/Red (0.29%),2.28
Rengar,Assassin,TOP,D,-8.95,47.43%,20.91%,0.91%,Blue (1.46%)/Red (0.85%),1.77
Riven,Fighter,TOP,S,6.18,51.30%,91.86%,4.88%,Blue (0.84%)/Red (1.46%),1.99
Rumble,Fighter,MID,B,1.36,52.28%,37.76%,0.95%,Blue (0.14%)/Red (0.12%),2.64
Rumble,Fighter,JUNGLE,C,1.29,49.65%,13.54%,0.31%,Blue (0.25%)/Red (0.01%),2.82
Rumble,Fighter,TOP,D,-2.02,47.57%,46.60%,1.01%,Blue (0.22%)/Red (0.04%),2.02
Ryze,Mage,MID,C,-1.72,45.97%,82.39%,2.15%,Blue (0.16%)/Red (0.04%),2.15
Ryze,Mage,TOP,D,-7.36,45.91%,16.26%,0.43%,Blue (0.09%)/Red (0.11%),1.74
Samira,Marksman,ADC,B,-3.44,48.52%,98.10%,7.22%,Blue (9.66%)/Red (1.49%),2.19
Sejuani,Tank,JUNGLE,B,-8.34,48.26%,82.05%,2.29%,Blue (0.17%)/Red (0.14%),3.09
Sejuani,Tank,TOP,D,-2.66,50.50%,13.18%,0.32%,Blue (0.1%)/Red (0.24%),2.43
Senna,Marksman,SUPPORT,B,-2.7,48.20%,85.15%,4.94%,Blue (1.52%)/Red (0.0%),2.54
Senna,Marksman,ADC,C,-2.53,50.62%,13.18%,0.70%,Blue (1.33%)/Red (0.19%),2.82
Seraphine,Mage,ADC,B,5.14,54.15%,16.88%,0.71%,Blue (0.37%)/Red (0.66%),3.07
Seraphine,Mage,MID,B,-1.79,50.09%,15.62%,0.76%,Blue (0.65%)/Red (0.38%),2.9
Seraphine,Mage,SUPPORT,B,-1.97,46.66%,67.22%,3.69%,Blue (0.07%)/Red (0.96%),2.47
Sett,Fighter,TOP,S+,15.56,49.60%,83.89%,8.23%,Blue (1.28%)/Red (6.09%),1.76
Shaco,Assassin,JUNGLE,S,3.87,51.66%,82.67%,5.98%,Blue (11.48%)/Red (5.68%),2.75
Shaco,Assassin,SUPPORT,B,3.21,52.04%,14.17%,1.03%,Blue (16.0%)/Red (1.16%),2.44
